name,iterations,total,mean,median,min,max,s-dev,ci (95%),,,,,,,,,,
std::find vector<int>(10),10,44300,110,100,100,200,29.983328,18.58386,,,,,,,,,,
std::find vector<int>(10),100,216000,114,100,0,200,40.037483,7.8473468,,,,,,,,,,
std::find vector<int>(10),1000,1545800,103.3,100,0,1800,87.282166,5.4098048,,,,,10,100,1000,10000,100000,1000000
std::find vector<int>(10),10000,16250100,108.4,100,0,9000,109.73125,2.1507325,,,,std::find,227.33501,164.136,219.814,158.27699,325.117,518.46802
std::find vector<int>(10),100000,243663800,227.33501,100,0,9586000,30509.031,189.09694,,,,std::binary_search,96.345001,142.882,170.472,221.114,465.25299,1244.3021
std::find vector<int>(100),10,74900,180,200,100,300,59.991665,37.18322,,,,htk::binary_search,105.947,141.006,157.263,189.03101,420.65701,1086.4437
std::find vector<int>(100),100,745800,200,200,100,2800,266.08081,52.15184,,,,,,,,,,
std::find vector<int>(100),1000,7274300,311.79999,200,100,145400,4591.5986,284.59024,,,,,,,,,,
std::find vector<int>(100),10000,68375800,205,200,0,281600,2946.4634,57.750683,,,,,,,,,,
std::find vector<int>(100),100000,615054900,164.136,200,0,40400,278.91583,1.7287383,,,,,,,,,,
std::find vector<int>(1000),10,389600,230,200,100,500,109.99545,68.175888,,,,,,,,,,
std::find vector<int>(1000),100,3008200,181,200,100,500,89.095451,17.462709,,,,,,,,,,
std::find vector<int>(1000),1000,38996000,210.60001,200,100,900,96.263382,5.9664664,,,,,,,,,,
std::find vector<int>(1000),10000,491823400,213.47,200,0,55300,792.52026,15.533398,,,,,,,,,,
std::find vector<int>(1000),100000,3200206100,219.814,200,0,3280200,10389.659,64.395775,,,,,,,,,,
std::find vector<int>(10000),10,2157500,130,100,0,200,64.02343,39.682133,,,,,,,,,,
std::find vector<int>(10000),100,25952800,184,200,100,500,80.888809,15.854207,,,,,,,,,,
std::find vector<int>(10000),1000,255803200,195.39999,200,0,1900,128.28763,7.9513497,,,,,,,,,,
std::find vector<int>(10000),10000,2021231300,167.25,100,0,17800,352.24033,6.9039106,,,,,,,,,,
std::find vector<int>(10000),100000,18892607800,158.27699,100,0,19100,267.67056,1.6590394,,,,,,,,,,
std::find vector<int>(100000),10,31908200,370,300,100,800,219.31483,135.93274,,,,,,,,,,
std::find vector<int>(100000),100,266778200,289,200,100,1800,205.37283,40.253075,,,,,,,,,,
std::find vector<int>(100000),1000,2426453700,275.29999,200,100,900,124.01146,7.6863098,,,,,,,,,,
std::find vector<int>(100000),10000,22923773600,296.69,200,100,17800,498.0498,9.761776,,,,,,,,,,
std::find vector<int>(100000),100000,2.53551E+11,325.117,300,100,370800,1367.9473,8.4786253,,,,,,,,,,
std::find vector<int>(1000000),10,241795900,440,500,200,800,162.47769,100.70472,,,,,,,,,,
std::find vector<int>(1000000),100,2566109500,479,400,200,1000,182.91528,35.851395,,,,,,,,,,
