name,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::find vector<int>(100000), 10, 110354500, 6290, 5100, 3700, 16000, 3400.1316, 2107.4233 
std::find vector<int>(100000), 100, 1317625000, 6510, 5300, 3600, 65100, 6573.4243, 1288.3912 
std::find vector<int>(100000), 1000, 7526181300, 4648.3999, 3700, 1600, 409600, 13461.854, 834.37433 
std::find vector<int>(100000), 10000, 71033382800, 4038.95, 3600, 1500, 1303600, 13284.255, 260.3714 
std::find vector<int>(100000), 100000, 704800747800, 3898.7607, 3600, 1400, 688500, 5146.8799, 31.900692 
std::binary_search vector<int>(100000), 10, 157055700, 7550, 6700, 3800, 19300, 4164.1919, 2580.9929 
std::binary_search vector<int>(100000), 100, 1601674000, 7309, 6100, 3400, 47700, 5155.2324, 1010.4256 
std::binary_search vector<int>(100000), 1000, 17844594000, 8370.5, 7000, 3600, 560500, 18858.783, 1168.8795 
std::binary_search vector<int>(100000), 10000, 161298242700, 6786.5503, 6200, 3100, 992900, 10524.502, 206.28024 
std::binary_search vector<int>(100000), 100000, 1620494233100, 6770.5688, 6100, 2900, 5613600, 20467.748, 126.86042 
htk::binary_search vector<int>(100000), 10, 203943600, 10850, 12500, 8300, 12800, 1928.3409, 1195.1981 
htk::binary_search vector<int>(100000), 100, 1643677500, 9279, 8500, 5800, 22200, 2652.1423, 519.81989 
htk::binary_search vector<int>(100000), 1000, 16205356300, 9404.5996, 8300, 5800, 313400, 10081.841, 624.87897 
htk::binary_search vector<int>(100000), 10000, 161992173900, 9522.0127, 8300, 5700, 402400, 7446.7559, 145.95642 
htk::binary_search vector<int>(100000), 100000, 1622105129000, 9466.0674, 8300, 5300, 1092900, 8876.3291, 55.01606 
std::sort vector<int>(100000), 10, 153750500, 8607300, 8322500, 7879900, 10078900, 705043.75, 436990.66 
std::sort vector<int>(100000), 100, 1614469100, 9372993, 8615600, 7766100, 27204400, 2411798.5, 472712.5 
std::sort vector<int>(100000), 1000, 16126743400, 9222894, 8716400, 7628500, 17863200, 1549842.4, 96060.227 
std::sort vector<int>(100000), 10000, 161581677300, 9204702, 8700900, 7571300, 24184100, 1583575, 31038.07 
std::sort vector<int>(100000), 100000, 1620364828100, 9227842, 8715700, 7555200, 26282600, 1584945.4, 9823.5938 
