name,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::find vector<int>(10), 10, 37600, 130, 100, 100, 200, 45.814846, 28.396336 
std::find vector<int>(10), 100, 227800, 126, 100, 100, 200, 43.852024, 8.5949965 
std::find vector<int>(10), 1000, 2047900, 112.3, 100, 0, 1800, 81.472992, 5.0497484 
std::find vector<int>(10), 10000, 18642800, 115.4, 100, 0, 14000, 149.53699, 2.9309249 
std::find vector<int>(10), 100000, 266081000, 149.12399, 100, 0, 2146400, 7051.6494, 43.706577 
std::find vector<int>(100), 10, 80300, 190, 200, 100, 200, 29.983328, 18.58386 
std::find vector<int>(100), 100, 695000, 172, 200, 100, 300, 47.063786, 9.2245026 
std::find vector<int>(100), 1000, 17243400, 326.70001, 200, 100, 70000, 2810.8213, 174.21651 
std::find vector<int>(100), 10000, 90796600, 172.31, 200, 0, 56500, 567.45526, 11.122124 
std::find vector<int>(100), 100000, 747376000, 172.377, 200, 0, 117000, 764.55127, 4.7387381 
std::find vector<int>(1000), 10, 275900, 160, 100, 100, 400, 91.646057, 56.802814 
std::find vector<int>(1000), 100, 1956700, 128, 100, 0, 200, 51.13707, 10.022866 
std::find vector<int>(1000), 1000, 22145800, 141.7, 100, 0, 2200, 94.499603, 5.8571463 
std::find vector<int>(1000), 10000, 356415500, 199.53, 200, 0, 38600, 504.40701, 9.8863773 
std::find vector<int>(1000), 100000, 3902808300, 295.61899, 200, 0, 4887000, 16733.109, 103.71289 
std::find vector<int>(10000), 10, 3897700, 270, 200, 100, 700, 155.23853, 96.217834 
std::find vector<int>(10000), 100, 31188900, 261, 200, 100, 3600, 383.37711, 75.141914 
std::find vector<int>(10000), 1000, 281702600, 218.89999, 200, 0, 2200, 128.7309, 7.9788237 
std::find vector<int>(10000), 10000, 2552118500, 225.87, 200, 0, 112300, 1133.1947, 22.210617 
std::find vector<int>(10000), 100000, 24434010900, 231.241, 200, 0, 391600, 1974.3907, 12.237401 
std::find vector<int>(100000), 10, 34723600, 440, 400, 200, 1000, 215.40427, 133.50896 
std::find vector<int>(100000), 100, 408856600, 533, 500, 200, 2100, 272.78195, 53.465263 
std::find vector<int>(100000), 1000, 3073289900, 550.29999, 400, 100, 70800, 2602.0334, 161.27571 
std::find vector<int>(100000), 10000, 32435879700, 519.16998, 400, 100, 88700, 1505.8661, 29.514977 
std::find vector<int>(100000), 100000, 293806766700, 413.04901, 300, 100, 264100, 1183.29, 7.3341079 
std::binary_search vector<int>(10), 10, 36500, 130, 100, 100, 200, 45.814846, 28.396336 
std::binary_search vector<int>(10), 100, 165400, 114, 100, 0, 200, 37.456642, 7.3415022 
std::binary_search vector<int>(10), 1000, 1256700, 100.4, 100, 0, 1800, 63.709625, 3.9487636 
std::binary_search vector<int>(10), 10000, 11547800, 98.139999, 100, 0, 17300, 303.88556, 5.9561572 
std::binary_search vector<int>(10), 100000, 118623300, 94.926003, 100, 0, 20000, 214.36018, 1.3286182 
std::binary_search vector<int>(100), 10, 70600, 150, 200, 100, 200, 49.989998, 30.984123 
std::binary_search vector<int>(100), 100, 629600, 127, 100, 0, 300, 48.682644, 9.5417986 
std::binary_search vector<int>(100), 1000, 6454900, 135.8, 100, 0, 9400, 301.45758, 18.684534 
std::binary_search vector<int>(100), 10000, 72604900, 142.52, 100, 0, 17500, 296.18179, 5.8051634 
std::binary_search vector<int>(100), 100000, 701941500, 134.86301, 100, 0, 34300, 245.98065, 1.524604 
std::binary_search vector<int>(1000), 10, 583700, 140, 100, 100, 200, 48.979588, 30.357864 
std::binary_search vector<int>(1000), 100, 6390700, 152, 100, 100, 400, 59.118526, 11.587232 
std::binary_search vector<int>(1000), 1000, 61886000, 151.39999, 100, 100, 500, 61.62035, 3.8192689 
std::binary_search vector<int>(1000), 10000, 624068700, 165.14, 100, 0, 17500, 398.30252, 7.8067298 
std::binary_search vector<int>(1000), 100000, 6383471900, 171.22701, 200, 0, 397400, 1484.255, 9.1995077 
std::binary_search vector<int>(10000), 10, 5137300, 190, 200, 100, 300, 53.842361, 33.371841 
std::binary_search vector<int>(10000), 100, 50915600, 181, 200, 100, 300, 56.017853, 10.9795 
