name, size,iterations,total,mean,median,min,max,s-dev,ci (95%)
std::find vector<int>, 10, 10, 718900, 730, 800, 500, 1200, 232.59192, 144.16197 
std::find vector<int>, 10, 100, 2175900, 576, 500, 300, 6700, 646.08282, 126.63223 
std::find vector<int>, 10, 1000, 17412500, 477.10001, 500, 300, 6800, 258.92929, 16.048605 
std::find vector<int>, 10, 10000, 60402100, 193.12, 100, 0, 36300, 397.48291, 7.7906651 
std::find vector<int>, 10, 100000, 631937200, 194.97501, 200, 0, 797600, 2926.8887, 18.141045 
std::find vector<int>, 100, 10, 153800, 170, 200, 100, 300, 78.096092, 48.404461 
std::find vector<int>, 100, 100, 751400, 240, 200, 100, 6700, 650.84485, 127.56559 
std::find vector<int>, 100, 1000, 7375300, 180.2, 200, 0, 4600, 161.94731, 10.037599 
std::find vector<int>, 100, 10000, 67638400, 178.08, 200, 0, 23800, 288.17477, 5.6482258 
std::find vector<int>, 100, 100000, 493925200, 153.55299, 100, 0, 136700, 606.32373, 3.7580335 
