name,iterations,total,mean,median,min,max,s-dev,ci (95%)
vector<int> insert-end 1000, 10, 1723300, 10190, 4000, 2100, 41900, 13669.195, 8472.2549 
vector<int> insert-end 1000, 100, 9621500, 1953, 1600, 800, 5300, 966.68982, 189.47121 
vector<int> insert-end 1000, 1000, 35294200, 962.20001, 700, 400, 37800, 2168.3552, 134.39606 
vector<int> insert-end 1000, 10000, 344793500, 737.04999, 600, 300, 284000, 3153.3872, 61.806389 
vector<int> insert-end 1000, 100000, 2937232500, 697.33789, 500, 300, 9846500, 31256.053, 193.72702 
htk::vector<int> insert-end 1000-1000, 10, 409200, 1400, 1000, 600, 5600, 1409.9642, 873.90491 
htk::vector<int> insert-end 1000-1000, 100, 3012300, 733, 500, 400, 9400, 984.38269, 192.93901 
htk::vector<int> insert-end 1000-1000, 1000, 31224600, 749.40002, 600, 500, 5900, 340.26224, 21.089672 
htk::vector<int> insert-end 1000-1000, 10000, 270721700, 568.78003, 400, 300, 233800, 2781.9646, 54.526508 
htk::vector<int> insert-end 1000-1000, 100000, 2628287400, 507.19699, 400, 300, 425300, 2061.3401, 12.776319 
vector<int> insert-mid 1000-1000, 10, 252200, 810, 800, 400, 1500, 385.87433, 239.16739 
vector<int> insert-mid 1000-1000, 100, 2300300, 464, 500, 400, 900, 79.391434, 15.560721 
vector<int> insert-mid 1000-1000, 1000, 23464000, 459, 500, 400, 1200, 71.119621, 4.40804 
vector<int> insert-mid 1000-1000, 10000, 239950900, 491.53, 400, 300, 104500, 1175.5028, 23.039856 
vector<int> insert-mid 1000-1000, 100000, 2568035300, 517.422, 500, 300, 443200, 1545.848, 9.5812654 
htk::vector<int> insert-mid 1000-1000, 10, 258900, 570, 700, 400, 800, 155.23853, 96.217834 
htk::vector<int> insert-mid 1000-1000, 100, 2635500, 427, 400, 300, 800, 84.67585, 16.596466 
htk::vector<int> insert-mid 1000-1000, 1000, 26761200, 440.79999, 400, 300, 2800, 135.18236, 8.3786898 
htk::vector<int> insert-mid 1000-1000, 10000, 276454800, 480.51001, 400, 300, 51600, 755.70471, 14.811812 
htk::vector<int> insert-mid 1000-1000, 100000, 2906253600, 504.54199, 400, 300, 149100, 873.11664, 5.411633 
vector<int> insert-begin 1000-1000, 10, 212800, 600, 600, 400, 1000, 194.93332, 120.82092 
vector<int> insert-begin 1000-1000, 100, 2062600, 393, 400, 300, 600, 51.478149, 10.089718 
vector<int> insert-begin 1000-1000, 1000, 22166400, 424.39999, 400, 300, 14300, 450.11234, 27.898252 
vector<int> insert-begin 1000-1000, 10000, 224741200, 449.31, 400, 300, 87100, 1013.1242, 19.857235 
vector<int> insert-begin 1000-1000, 100000, 2365825200, 480.13501, 400, 300, 646100, 2442.2546, 15.137251 
htk::vector<int> insert-begin 1000-1000, 10, 249700, 470, 500, 300, 600, 118.73921, 73.595329 
htk::vector<int> insert-begin 1000-1000, 100, 2350400, 389, 400, 300, 600, 61.465439, 12.047226 
htk::vector<int> insert-begin 1000-1000, 1000, 24813800, 406.60001, 400, 300, 10600, 341.84149, 21.187555 
htk::vector<int> insert-begin 1000-1000, 10000, 253206800, 465.54999, 400, 300, 235600, 2428.4905, 47.598415 
htk::vector<int> insert-begin 1000-1000, 100000, 2610947300, 455.578, 400, 300, 134400, 868.37994, 5.3822746 
